sample,seconds,register,value
0,0.0,0x14,0x35
3,6.802721088435374e-05,0x60,0x7F
7,0.00015873015873015873,0x70,0x7F
11,0.00024943310657596373,0x68,0x7F
15,0.0003401360544217687,0x78,0x7F
35,0.0007936507936507937,0x61,0x7F
39,0.0008843537414965987,0x71,0x7F
43,0.0009750566893424037,0x69,0x7F
47,0.0010657596371882086,0x79,0x7F
67,0.0015192743764172335,0x62,0x7F
71,0.0016099773242630386,0x72,0x7F
75,0.0017006802721088435,0x6A,0x7F
79,0.0017913832199546486,0x7A,0x7F
99,0.0022448979591836735,0x63,0x7F
103,0.0023356009070294786,0x73,0x7F
107,0.0024263038548752833,0x6B,0x7F
111,0.0025170068027210884,0x7B,0x7F
131,0.0029705215419501135,0x64,0x7F
135,0.003061224489795918,0x74,0x7F
139,0.0031519274376417233,0x6C,0x7F
143,0.0032426303854875284,0x7C,0x7F
163,0.003696145124716553,0x65,0x7F
167,0.0037868480725623582,0x75,0x7F
171,0.0038775510204081634,0x6D,0x7F
175,0.003968253968253968,0x7D,0x7F
195,0.004421768707482994,0x66,0x7F
199,0.004512471655328798,0x76,0x7F
203,0.004603174603174603,0x6E,0x7F
207,0.004693877551020408,0x7E,0x7F
227,0.005147392290249433,0x67,0x7F
231,0.005238095238095238,0x77,0x7F
235,0.005328798185941043,0x6F,0x7F
239,0.005419501133786848,0x7F,0x7F
255,0.005782312925170068,0x0F,0x00
256,0.005804988662131519,0x18,0x00
258,0.005850340136054422,0x19,0x80
259,0.005873015873015873,0x19,0x00
261,0.005918367346938775,0x1B,0x00
262,0.005941043083900227,0x1B,0x40
299,0.006780045351473923,0x98,0x00
300,0.006802721088435374,0xB8,0x00
302,0.0068480725623582765,0xD8,0x00
303,0.006870748299319728,0xF8,0x00
306,0.0069387755102040816,0x38,0x00
307,0.006961451247165533,0x08,0x00
335,0.007596371882086168,0x99,0x00
336,0.007619047619047619,0xB9,0x00
338,0.007664399092970522,0xD9,0x00
339,0.0076870748299319724,0xF9,0x00
342,0.007755102040816327,0x39,0x00
343,0.0077777777777777776,0x08,0x01
371,0.008412698412698413,0x9A,0x00
372,0.008435374149659863,0xBA,0x00
374,0.008480725623582767,0xDA,0x00
375,0.008503401360544218,0xFA,0x00
378,0.008571428571428572,0x3A,0x00
379,0.008594104308390022,0x08,0x02
407,0.009229024943310658,0x9B,0x00
408,0.00925170068027211,0xBB,0x00
410,0.009297052154195011,0xDB,0x00
411,0.009319727891156463,0xFB,0x00
414,0.009387755102040816,0x3B,0x00
415,0.009410430839002268,0x08,0x03
443,0.010045351473922902,0x9C,0x00
444,0.010068027210884354,0xBC,0x00
446,0.010113378684807257,0xDC,0x00
447,0.010136054421768707,0xFC,0x00
